video_name,question_id,question,answer0,answer1,answer2,answer3,type,start-time/s,urgency
00502,v_00502_5,Which bottle is shampoo?,The left.,The white bottle with a blue lid on the right.,Left side.,,information reading,12.62,not_urgent
00502,v_00502_6,Which one is the shampoo bottle?,I don't know.,The white bottle with a blue lid on the right.,Left side.,,information reading,12.62,not_urgent
00502,v_00502_7,What brand is this bottle I'm holding?,It is Safeguard.,Safeguard.,,,information reading,22.61,not_urgent
00502,v_00502_8,Has yuki entered the room safely?,Yes.,,,,resource acquisition and others,27.88,not_urgent
00502,v_00502_9,Where is the window in this room?,It's directly in front of you.,In front of me.,Directly in front.,,information reading,27.88,not_urgent
00502,v_00502_10,What's on the windowsill?,The guide saddle of the dog.,I don't know.,,,information reading,28.87,not_urgent
00502,v_00502_11,Where is the detergent drawer on this washing machine?,I don't know.,,,,tool use,38.8,not_urgent
00503,v_00503_1,How can I get to the couch from here?,"Go straight until you reach the table, then turn left and continue a few steps forward.",Walk straight in the direction facing the camera.,Left front.,,local navigation and positioning,0.99,urgent
00503,v_00503_2,Which room am I in now?,You are in the living room.,Living room.,,,information reading,0.99,not_urgent
00503,v_00503_3,What art is hanging on the wall?,Abstract paintings with vibrant colors.,"Three paintings with dark blue and gold themes, I don't know which kind of art they belong to.",I don't know.,,information reading,3,not_urgent
00504,v_00504_1,Where is the detergent compartment in this washing machine?,"On the front side of the machine, near the control panel.",I don't know.,,,tool use,6.99,not_urgent
00504,v_00504_2,Where are the control buttons for my washing machine?,It is located at the bottom of the control panel.,Bottom of the control area.,Button next to the index finger.,,tool use,15,not_urgent
00504,v_00504_3,How do I start my washing machine?,Press the power button on the right side of the front panel.,Press the button.,Press the button next to your index finger.,,tool use,4.98,not_urgent
00504,v_00504_4,Which button should I press to start the washing machine?,The third button on the right.,"Press the smart switch on the far right of the row below, and then press the third button on the circular black panel in the middle.",Button next to the index finger.,,information reading,10.98,not_urgent
00505,v_00505_1,Can you describe the items on the table?,"There are electronic devices on the dining table, including a microphone in a stand, a computer keyboard, cables and sundries.","There is a laptop and phone holder, headphones and other devices, all of which are black.",Laptop and microphone.,,information reading,1.98,not_urgent
00505,v_00505_2,What equipment is on this table?,"There is a laptop, a microphone, a set of headphones, some cables, and a few other electronic gadgets.",Laptop.,Laptop and microphone.,,information reading,1.98,not_urgent
00505,v_00505_3,Where does the coffee grinder go on the counter?,On the left side of the counter.,The leftmost position against the wall.,Right front.,,resource acquisition and others,6.14,not_urgent
00505,v_00505_4,Am I facing the electric kettle now?,Yes.,,,,information reading,6.14,urgent
00505,v_00505_5,What's on the kitchen counter?,"There is a full set of pour-over coffee equipment on the table, including a coffee grinder, a kettle, a coffee scale, a package of coffee bean, a mug, etc..","Coffee machine, rag, kettle, ceramic cup, paper cup.",Hand brewing coffee set.,,information reading,5.15,not_urgent
00505,v_00505_6,What kind of coffee is stored on the counter?,FS KafeiC.,I don't know.,,,information reading,7.13,not_urgent
00505,v_00505_7,What's on the table in front of me?,"There is a laptop, a microphone on a stand, and some other electronic devices on the table.","Some LIVE devices such as laptops, microphones, headphones, and phone holders.",Laptop and microphone.,,information reading,12.02,not_urgent
00505,v_00505_8,What's on the table?,"There is a laptop, a microphone, a set of headphones, some cables, and a few other electronic gadgets.","Some LIVE devices such as laptops, microphones, headphones, and phone holders.",Laptop and microphone.,,information reading,13.01,not_urgent
00505,v_00505_9,What's in the shelf behind the chair?,The shelf behind the chair is filled with snacks.,Some snacks.,Snacks.,,information reading,17.03,not_urgent
00506,v_00506_1,Did I hit the light switch correctly?,No.,,,,tool use,3,not_urgent
00506,v_00506_2,Which switches near the sockets should I pay attention to?,No.,,,,information reading,6.99,not_urgent
00506,v_00506_3,What is the orientation of the socket in front of me?,The socket is positioned vertically on the wall in front of you.,Towards me.,Five-hole socket.,,information reading,3,urgent
00506,v_00506_4,How many slots are available in this socket?,There are two plug slots available on the socket.,4,Five-hole socket.,,information reading,3,not_urgent
00507,v_00507_1,How can I properly insert the plug into this socket?,Align the plug prongs with the slots and push firmly.,Find the right position and press it tightly.,Find out the position of the hole before inserting.,,tool use,0.99,urgent
00507,v_00507_2,Is the second socket from the right now empty?,Yes.,,,,information reading,3,not_urgent
00507,v_00507_3,Does this socket accept 2-pin or 3-pin plugs?,It supports both 2-pin and 3-pin plugs.,2-pin.,,,information reading,0.99,not_urgent
00508,v_00508_1,Is this the correct plug for my phone charger?,Yes.,,,,resource acquisition and others,1.98,urgent
00508,v_00508_2,Is there an electrical outlet on the wall to my right?,"No,it's in front of you.",No.,Directly in front.,,information reading,4.98,urgent
00508,v_00508_3,Am I standing in front of an electrical outlet right now?,Yes.,,,,information reading,1.98,urgent
00508,v_00508_4,What's this?,It is a plug.,Two sockets.,Socket.,,information reading,1.98,urgent
00508,v_00508_5,Which socket am I plugged into?,You are plugging into the left socket.,Position of the two holes above the left socket.,Two-hole socket.,,information reading,4.98,not_urgent
00509,v_00509_1,Where is the nearest electrical outlet in this room?,It's below the window on the left wall.,Under the wall on the left.,Left front.,,resource acquisition and others,3.99,not_urgent
00509,v_00509_2,Am I facing the window now?,Yes.,,,,information reading,9,not_urgent
00509,v_00509_3,Is there an outlet near the bed?,No.,,Left front.,,information reading,4.98,not_urgent
00510,v_00510_1,Did I grab the handrail of this staircase?,I don't know.,Yes.,,,information reading,10.98,urgent
00510,v_00510_2,Where is the plug?,It's under the cabinet.,Directly below my right hand position.,Right hand is touching.,,local navigation and positioning,22.19,not_urgent
00510,v_00510_3,Can you help me find a nearby charging socket?,It's under the cabinet in front of you.,"In front of me, in the cabinet across from the bed.",Directly in front.,,information reading,32.18,not_urgent
00510,v_00510_4,What am I holding?,A camera.,Holding a video recording device in the left hand.,Camera.,,information reading,22.19,not_urgent
00510,v_00510_5,What's on the shelf?,There are two chargers.,Some power cords and plugs.,Charger.,,information reading,32.18,not_urgent
00510,v_00510_6,What's on the table in front of me?,"There is a tissue box, some electronic device, and a bowl.","Tissue box, desktop storage, transparent ashtray.",Black box.,,information reading,38.86,not_urgent
00511,v_00511_1,Where is the light switch?,It is on the wall to your right.,The white wall near my right.,Right front wall.,,local navigation and positioning,0.99,not_urgent
00511,v_00511_2,How can I get to the door?,You should turn slightly to the right and go straight.,Turn right a little and go straight.,Walk forward.,,local navigation and positioning,0,urgent
00511,v_00511_3,Am I heading towards the front door?,Yes.,you are turning right in place and moving forward the door.,,,information reading,0,urgent
00512,v_00512_1,Where is the TV?,On the wall in front of you.,"In front of me, across from the sofa.",Directly in front.,,resource acquisition and others,10.98,not_urgent
00512,v_00512_2,Am I facing the TV now?,Yes.,,,,information reading,9,not_urgent
00512,v_00512_3,Is the TV on the wall in front of me?,Yes.,,,,information reading,15.93,not_urgent
00512,v_00512_4,How do I get to the bathroom from here?,I don't know.,,,,local navigation and positioning,20.94,not_urgent
00512,v_00512_5,Will there be any obstacles if I go straight?,There's a dog and a bay window out front.,Dogs and windowsills.,Dog.,,safety warnings,37.3,urgent
00512,v_00512_6,Where is the nearest exit?,I don't know.,,,,local navigation and positioning,32.32,not_urgent
00512,v_00512_7,How do I get to the couch from here?,Go straight ahead and then move slightly to the left.,Stand up and walk to the left.,Left front.,,local navigation and positioning,27.31,urgent
00513,v_00513_1,What is the key code?,I don't know.,,,,information reading,0,not_urgent
00514,v_00514_1,What type of lock is this?,An electronic digital combination lock.,Password lock.,,,information reading,0.99,not_urgent
00514,v_00514_2,Is this door unlocked now?,No.,,,,information reading,3,urgent
00514,v_00514_3,What are the numbers on the keyboard?,0 through 9.,"1, 2, 3, 4, 5, 6, 7, 8, 9, as well as the symbols * and #.","From top to bottom, from left to right, it is 123456789 * 0 #.",,information reading,3,not_urgent
00515,v_00515_1,Am I facing the door now?,Yes.,,,,information reading,3,not_urgent
00515,v_00515_2,Is this the keypad I need to use to unlock the door?,Yes.,,,,information reading,6.99,not_urgent
00516,v_00516_1,Am I facing the entrance door?,Yes.,,,,information reading,0.99,urgent
00516,v_00516_2,Is there any sign on the door?,No.,,,,information reading,0.99,not_urgent
00516,v_00516_3,Is there a corridor to my right?,I don't know.,,,,information reading,3,urgent
00516,v_00516_4,What's on the wall to my right?,There is a small screen on the wall.,"I can't see clearly after hitting Mosaic, it seems to be an electronic screen.",I don't know.,,information reading,3,not_urgent
00517,v_00517_1,Is there a sign on the wall to help me identify my current location?,No.,There should be 2 with an electronic screen.,,,resource acquisition and others,1.98,not_urgent
00517,v_00517_2,What's on the screen of this device?,I don't know.,"I can't see clearly after hitting Mosaic, there are some colorful applications.",,,information reading,1.98,not_urgent
00517,v_00517_3,Is the screen in front of me interactive?,Yes.,,,,information reading,4.98,not_urgent
00518,v_00518_1,Is the door on my left or right?,I don't know.,Left.,,,information reading,3,urgent
00518,v_00518_2,Am I facing the entrance of the apartment?,No.,,On the left.,,information reading,0.99,not_urgent
00469,v_00469_1,How can I get to the nearest bathroom from here?,I don't know.,Turn right.,,,local navigation and positioning,34.98,not_urgent
00469,v_00469_2,Am I heading towards KTV?,No.,,KTV is on the third floor.,,information reading,46.98,not_urgent
00469,v_00469_3,Am I facing the exit now?,Yes.,,,,information reading,10.98,urgent
00469,v_00469_4,Am I facing the exit door now?,No.,"No, but it's nearby.",,,information reading,58.98,urgent
00469,v_00469_5,Which store did I just enter?,I don't know.,Did not enter.,,,information reading,9,not_urgent
00469,v_00469_6,What shops are there on my left?,Sephora.,,,,information reading,18.99,not_urgent
00469,v_00469_7,Which floor am I on?,I don't know.,1,,,information reading,39,not_urgent
00469,v_00469_8,Which store am I passing on my right?,MLB.,Mlb.,,,information reading,48.99,not_urgent
00469,v_00469_9,Where is the cashier?,Straight ahead from the entrance.,Directly in front.,,,local navigation and positioning,76.57,not_urgent
00469,v_00469_10,Where are the latest mobile phone models displayed?,I don't know.,Left-hand counter.,Right hand on.,,resource acquisition and others,102.55,not_urgent
00469,v_00469_11,Is there any new equipment available here?,Yes.,15 pro max.,I don't know.,,information reading,96.55,not_urgent
00469,v_00469_12,Which direction should I go to reach the exit?,I don't know.,,,,local navigation and positioning,127.55,not_urgent
00469,v_00469_13,Which store am I in?,In an electronics store.,Apple.,Mobile phone store.,,information reading,125.57,not_urgent
00470,v_00470_1,What model is the iPhone displayed in front of me?,IPhone 15.,IPhone15.,,,information reading,10.98,not_urgent
00470,v_00470_2,What model of iPhone is shown here?,IPhone 15.,15,,,information reading,9,not_urgent
00470,v_00470_3,Is this phone different from previous models?,Yes.,,,,information reading,28.98,not_urgent
00470,v_00470_4,Which phone model am I touching here?,It is an iPhone 15 pro max.,15,Apple 15 Pro Max.,,information reading,34.98,not_urgent
00471,v_00471_1,Is there any seat nearby where I can rest?,I don't know.,No.,,,resource acquisition and others,46.98,not_urgent
00471,v_00471_2,Where is the nearest exit here?,The nearest exit is behind you.,Asked the clerk.,I don't know.,,local navigation and positioning,22.98,not_urgent
00471,v_00471_3,Where is the Accessibility Assistance Counter?,The accessibility assistance counter is on your left.,Left hand.,Here.,,information reading,34.98,not_urgent
00471,v_00471_4,Am I facing the main counter of the store?,Yes.,,,,information reading,10.98,not_urgent
00471,v_00471_5,Am I facing the store exit?,No.,,,,information reading,58.98,not_urgent
00471,v_00471_6,What model of iPhone is shown?,IPhone 15.,15,Apple 15 Pro Max.,,information reading,48.99,not_urgent
00471,v_00471_7,What does the logo next to the iPhone say?,I don't know.,IPhone 15.,,,information reading,58.98,not_urgent
00471,v_00471_8,What is the price?,I don't know.,9999 yuan.,,,information reading,28.98,not_urgent
00471,v_00471_9,What product is being advertised on the sign next to the phone?,IPhone 15.,,,,information reading,58.98,not_urgent
00472,v_00472_1,How do I turn on this phone?,Press and hold the power button on the side of the phone.,Press the button next to it.,I don't know.,,tool use,15,not_urgent
00472,v_00472_2,Am I facing the service desk?,Yes.,,,,information reading,15,not_urgent
00472,v_00472_3,What items are displayed on the shelf on the left?,Various phone accessories like cases and chargers.,"Phone cases, headphones, etc.","Chargers, phone cases and other devices.",,information reading,10.98,not_urgent
00472,v_00472_4,Where can I test the functionality of my phone?,I don't know.,App store.,Here.,,local navigation and positioning,74.55,not_urgent
00472,v_00472_5,Where are the restrooms?,I don't know.,,,,resource acquisition and others,62.55,not_urgent
00472,v_00472_6,Is there an exit nearby?,I don't know.,Yes.,,,information reading,38.55,not_urgent
00472,v_00472_7,How can I find the entrance from here?,I don't know.,Turn left or right after turning around.,,,local navigation and positioning,86.55,not_urgent
00472,v_00472_8,Can you tell me where to get to the nearest assistance point?,It is directly in front of you at the customer service desk.,Yes.,Here.,,local navigation and positioning,50.55,not_urgent
00472,v_00472_9,Am I facing the entrance now?,Yes.,,,,information reading,98.55,not_urgent
00472,v_00472_10,How do I unlock this phone?,Press the power button on the upper right.,Lock screen button.,I don't know.,,tool use,54.57,not_urgent
00472,v_00472_11,What brand is this phone?,Iphone.,IPhone.,,,information reading,24.57,not_urgent
00472,v_00472_12,What model of phone am I holding?,IPhone 15 Pro Max.,I don't know.,,,information reading,44.55,not_urgent
00472,v_00472_13,Could you please help me check the available storage space on this device?,I don't know.,Yes.,Ask the staff next to you.,,information reading,84.57,not_urgent
00473,v_00473_1,What object is this?,Large red bear statue.,Animal sculpture.,A red animal model.,,information reading,9,not_urgent
00474,v_00474_1,What is on display at this stall?,"A variety of colorful items, including trinkets and ornaments.",Small accessories.,Handicrafts.,,information reading,9,not_urgent
00474,v_00474_2,What does this stall sell?,"Various trinkets, accessories, and souvenirs.",Small accessories.,Handicrafts.,,information reading,39,not_urgent
00475,v_00475_1,What is the store owner doing?,I don't know.,Speech.,,,communication and interaction,51,not_urgent
00475,v_00475_2,What projects were shown?,"An assortment of jewelry such as rings, necklaces, and earrings.",Small accessories.,Handicrafts.,,information reading,9,not_urgent
00475,v_00475_3,Can you describe the merchandise sold at this stall?,"The stall has a variety of items, including jewelry and accessories.",Ring.,Many handicrafts.,,information reading,39,not_urgent
00475,v_00475_4,What goods does this stall sell?,"Various items, including trinkets and accessories.",Small accessories.,Handicrafts.,,information reading,39,not_urgent
00476,v_00476_1,What is on display in this store?,Various items including some colorful objects and possibly food or decorative items.,Small accessories.,Handicrafts.,,information reading,9,not_urgent
00476,v_00476_2,What other products does the store carry?,"Various colorful items, potentially jewelry or small decorative items.",I don't know.,Handicrafts.,,information reading,48.99,not_urgent
00479,v_00479_1,Where is the alley ahead?,Walk forward about 5m and turn left.,Right front.,Go straight.,,local navigation and positioning,22.98,urgent
00479,v_00479_2,Is this the clinic's reception area in front of me?,Yes.,,,,information reading,70.98,not_urgent
00479,v_00479_3,How far is the road ahead?,About 20m.,About 50m.,About ten meters.,,information reading,46.98,urgent
00479,v_00479_4,How do I avoid parked vehicles in front of me?,Go forward to the right.,Go through the middle of the two cars on the right front.,,,local navigation and positioning,10.98,urgent
00479,v_00479_5,Have I reached the alley?,Yes.,,,,information reading,34.98,urgent
00490,v_00490_1,Is it safe to go straight ahead without any obstacles?,"Yes, the path appears to be clear and unobstructed.",Yes.,,,safety warnings,3,urgent
00490,v_00490_2,Are there any vehicles coming the other way in the direction I am heading?,"No, the sidewalk is clear, but there seems to be traffic further ahead.You should be more careful when you get to the intersection.",No.,,,safety warnings,6.99,urgent
00491,v_00491_1,Is it safe to cross the road now?,"No, there is a car in the middle of the road.And there are electric cars walking around you.",No.,,,safety warnings,6.99,urgent
00491,v_00491_2,Are there any obstacles in the way when I cross the road?,"Yes, there is a car in the middle of the road.And there are warning posts around the car.",Yes.,There are cars passing by on both sides.,,safety warnings,15,urgent
00492,v_00492_1,Is it safe for me to cross the road now?,"No, there is traffic passing by, including a motorcycle.You just follow the driver.",No.,,,safety warnings,3,urgent
00492,v_00492_2,Are there any nearby obstacles or vehicles that I should be aware of?,"Yes, there is a delivery scooter moving close by.",There is a delivery rider riding a bike passing by in front.,Yes.,,safety warnings,6.99,urgent
00492,v_00492_3,"When we are about to cross the road, is there a car coming towards us?",Yes.,,,,safety warnings,7.98,urgent
00493,v_00493_1,What obstacles or hazards should I be aware of inside the vehicle before exiting?,"No, the path appears to be clear inside the car.There are two bottles of water on your left.",There are two bottles of water on the left.,No.,,safety warnings,106.98,urgent
00493,v_00493_2,Can you tell if the door is fully open so I can exit safely?,"No,the door hasn't opened yet.",No.,,,safety warnings,118.98,urgent
00493,v_00493_3,Is the car parked close to the sidewalk so I can exit safely?,"Yes, the car is parked close to the sidewalk.",Yes.,,,safety warnings,130.98,urgent
00493,v_00493_4,Are there any people or vehicles nearby that I should be cautious of when getting out?,"Yes, there are several people and vehicles nearby.They are all on your right.","There are some food delivery riders resting ahead, and there is a parked motorcycle in front of them on the right.",Yes.,,safety warnings,142.98,urgent
00493,v_00493_5,Can you tell me how to find the door handle to get out of the car?,The door handle is on your right and you can look for it by hand when you reach your destination.,Right hand side.,On the right side.,,tool use,118.98,urgent
00494,v_00494_1,Is it safe to walk through this street?,"Yes, but proceed carefully as there are pedestrians and workers.",Yes.,There are two people ahead.,,safety warnings,6.99,urgent
00494,v_00494_2,Are there any moving vehicles I should be aware of in this area?,"No, there are some vehicles on the street.But they are not moving. Please proceed with caution.",No.,,,safety warnings,15,urgent
00495,v_00495_1,Am I able to walk this path smoothly?,"No,There is a fence in front of you.",No.,Ahead is a fence.,,safety warnings,22.98,urgent
00495,v_00495_2,Is there any traffic I should be aware of?,"There is a car in the background, so be cautious.",There is a moving car on the left.,There is a car ahead on the left.,,safety warnings,30.99,urgent
00496,v_00496_1,Is it safe for me to approach the food stand?,"No, there is a little step in front of you.",There are steps ahead.,No.,,safety warnings,87,urgent
00496,v_00496_2,Can you tell me if there is anyone in line ahead of me?,"No,There is no one in front of you.",No.,,,safety warnings,94.98,not_urgent
00496,v_00496_3,Is the path clear for me to move forward?,"No,There are passers-by in front of you,please walk carefully.",There are many pedestrians.,Someone on the right.,,safety warnings,102.99,urgent
00489,v_00489_1,Is it safe to cross the street here?,No.,,Unsafe.,,safety warnings,18.99,urgent
00489,v_00489_2,Has my car arrived?,Yes.,,,,information reading,18.99,urgent
00798,v_00798_1,What is this furry object I'm holding?,Pet dog.,Cat.,White-haired animal.,,information reading,1.98,not_urgent
00798,v_00798_2,What is that wrapped around my wrist?,Dog leash.,Tape.,White-haired animal.,,information reading,4.98,not_urgent
00799,v_00799_1,How do I make sure I stay on the sidewalk and don't stray off the grass or the road?,Rely on your guide dog to maintain the path.,Go forward.,Follow the guide dog.,,tool use,1.98,urgent
00799,v_00799_2,How to distinguish different surface textures on a sidewalk?,"Use your guiding stick to feel surface changes; smooth indicates pavement, rough signals tactile tiles, and soft or uneven suggests grass or dirt.",The rougher and more convex texture is the blind path.,Touching the ground with a cane.,,tool use,4.98,not_urgent
00799,v_00799_3,Are we encountering any obstacles?,No.,,,,information reading,9,urgent
00799,v_00799_4,Should I continue straight and stay on the sidewalk?,Yes.,,,,information reading,9,urgent
00800,v_00800_1,Where am I?,You are at a park with greenery and a path in front.,Lawn.,Ahead is a grassland.,,information reading,0.99,not_urgent
00800,v_00800_2,Is there any way to avoid the grass?,No.,,,,information reading,3,urgent
00801,v_00801_1,Is there a road ahead?,"No,it is meadow.",No.,,,information reading,1.98,urgent
00802,v_00802_1,What is the purpose of this railing next to the lawn?,Play a protective role.,There may be a car passing by.,Track of the car.,,resource acquisition and others,3,not_urgent
00802,v_00802_2,Is there a step or ramp to my right?,"Yes, there are steps to the right.",Yes.,,,information reading,6.99,urgent
00803,v_00803_1,Which direction should I go to leave the park?,I don't know.,Go left.,Turn left or right.,,local navigation and positioning,4.98,not_urgent
00803,v_00803_2,How can I get to the nearest seating area from here?,I don't know.,Turn back and go straight.,,,local navigation and positioning,10.98,not_urgent
00803,v_00803_3,Is there a path or stairs ahead?,Yes.,,There are steps ahead.,,information reading,18.99,urgent
00804,v_00804_1,Which direction should I go to reach the park entrance?,Turn around and proceed straight ahead.,Back off.,Turn right.,,local navigation and positioning,3,not_urgent
00805,v_00805_1,Can I walk on the road ahead smoothly?,No.,,Ahead is a fence.,,safety warnings,3,urgent
00805,v_00805_2,Can you describe the environment I'm in?,You are in a park area with people around and some fenced-in greenery.,"The dirt road in the park, with flowers in front.",On the grass in the park.,,information reading,1.98,not_urgent
00805,v_00805_3,What is in front of me at this moment?,There are green plants and a railing in front.,There are people and railings ahead.,Fences and plants.,,information reading,4.98,urgent
00805,v_00805_4,Can you tell me if there are any obstacles in my path?,There is a fence right in front of you which seems to block your way.,Yes.,Fences and plants.,,information reading,4.98,urgent
00806,v_00806_1,Is there a road to my left or right?,I don't know.,There is a road on the right.,Yes.,,information reading,16.98,not_urgent
00806,v_00806_2,Are the plants inside a fence or barrier?,Yes.,,,,information reading,18.99,not_urgent
00806,v_00806_3,What is in front of me?,There are green plants and a railing in front.,Flower branches and leaves.,Fences and plants.,,information reading,22.98,not_urgent
00807,v_00807_1,Where is the nearest exit here?,I don't know.,Right.,,,local navigation and positioning,4.98,not_urgent
00807,v_00807_2,Which direction should I go to reach the end of the fence?,Follow the fence line straight ahead.,Right hand side.,Turn left or right.,,local navigation and positioning,34.98,not_urgent
00807,v_00807_3,What kind of flowers are these?,Purple flowers in full bloom.,Bougainvillea.,I don't know.,,information reading,9,not_urgent
00807,v_00807_4,Are there any gaps in the fence that I should be aware of?,There doesn't appear to be obvious gaps in the fence.,No.,,,information reading,28.98,urgent
00807,v_00807_5,What is the landmark in front of me?,There is two tall buildings in front of you.,I don't know.,,,information reading,10.98,not_urgent
00807,v_00807_6,Am I close to the sidewalk?,No.,Far.,,,information reading,16.98,not_urgent
00807,v_00807_7,Do I walk next to a fence or barrier?,Yes.,Fence.,,,information reading,22.98,urgent
00807,v_00807_8,What does the ground texture look like underneath the fence?,The ground_ is land and lawn.,Earth.,Grassland.,,information reading,22.98,not_urgent
00808,v_00808_1,Is it safe to continue straight?,Yes.,,,,safety warnings,0.99,urgent
00808,v_00808_2,Which direction should I go from here to reach the nearest road?,Go straight ahead.,Go forward.,Go straight.,,local navigation and positioning,0.99,not_urgent
00808,v_00808_3,Are there any obstacles in front of me?,No.,,,,information reading,3,urgent
00809,v_00809_1,Is it safe for me to cross the road now?,Yes.,,,,safety warnings,6.99,urgent
00809,v_00809_2,Is it safe to cross the road now?,Yes.,,,,safety warnings,10.98,urgent
00809,v_00809_3,Am I facing the crosswalk now?,Yes.,,,,information reading,4.98,urgent
00809,v_00809_4,Are there any pedestrians or vehicles coming from the side?,Yes.,"Yes, someone is coming from the right.",There is a pedestrian on the right.,,information reading,15,urgent
00810,v_00810_1,Is there a car coming to my left?,The car is Coming right at you.,No.,"No, but a car is coming towards you from the front right.",,resource acquisition and others,10.98,urgent
00810,v_00810_2,Is it safe for me to cross the road now?,No.,,,,safety warnings,4.98,urgent
00810,v_00810_3,Has the light turned green yet?,I don't know.,,,,information reading,9,urgent
00811,v_00811_1,Is the taxi on my right stopped or moving?,Moving slowly.,Drove away.,Move.,,safety warnings,10.98,urgent
00811,v_00811_2,Is it safe to move forward now?,No.,,,,safety warnings,16.98,urgent
00811,v_00811_3,Am I facing the crosswalk?,No.,,,,information reading,4.98,urgent
00811,v_00811_4,Can I pass this way?,No.,,,,information reading,9,urgent
00811,v_00811_5,Is the car in front of me stopped?,Yes.,,,,information reading,18.99,urgent
00812,v_00812_1,Where is the main entrance to the park?,"Turn slightly to your right and go straight, following the path ahead.",Directly in front.,Right front.,,local navigation and positioning,4.98,not_urgent
00812,v_00812_2,Are there any obstacles ahead on this road?,No.,,,,information reading,12.99,urgent
00813,v_00813_1,How crowded is the area ahead?,Several people standing and walking around.,There are about 10 people.,There are more than ten people ahead.,,information reading,3.99,urgent
00814,v_00814_1,Is it safe for me to continue straight?,Yes.,,,,safety warnings,16.98,urgent
00814,v_00814_2,Am I facing an open space or a path?,Pathway.,,Open area.,,information reading,10.98,not_urgent
00815,v_00815_1,How can I navigate to the group of people ahead of me?,Just go straight. They're making way for you.,Go right.,Walk forward first.,,safety warnings,3,urgent
00815,v_00815_2,How can I get to the covered building in front?,Walk straight and then turn right.,Go straight ahead for about 50 meters.,Right front.,,local navigation and positioning,6.99,urgent
00815,v_00815_3,What does yuki focus on?,"It is looking ahead, possibly focusing on the path or people ahead.",Someone is filming it in front.,People on the right.,,information reading,1.98,not_urgent
00815,v_00815_4,Is there any obstacle in front of me?,No.,,Someone ahead.,,information reading,4.98,urgent
00816,v_00816_1,Is there a clear path ahead for me?,No.,,,,safety warnings,10.98,urgent
00817,v_00817_1,Is it safe to proceed?,"No, it is not safe to proceed forward as there is a barrier and train tracks in front of you.",No.,,,safety warnings,22.98,urgent
00817,v_00817_2,Where is the entrance to the garden?,"It is directly ahead, past the people in front of you.",Front.,I don't know.,,local navigation and positioning,4.98,not_urgent
00817,v_00817_3,Could you lead me down the garden path?,"Proceed forward,it is right in front of you.",Go forward.,I don't know.,,local navigation and positioning,10.98,urgent
00817,v_00817_4,Can you describe the ground beneath my feet?,The ground beneath your feet is paved with stone tiles.,Brick road.,Ceramic road.,,information reading,22.98,urgent
00817,v_00817_5,Is there a clear path ahead?,No.,,,,information reading,4.98,urgent
00817,v_00817_6,Is there something blocking the camera's view?,Some of you might get in the way.,No.,There are three people ahead.,,information reading,16.98,not_urgent
00817,v_00817_7,What is in front of me?,"You are facing a barrier with train tracks in front of it, and there are people standing nearby.",There are two people.,A meadow.,,information reading,22.98,urgent
00818,v_00818_1,Where is the nearest bench?,"To your left, near the fence and flower bushes.",I don't know.,,,resource acquisition and others,6.99,not_urgent
00818,v_00818_2,How can I get to the building in front of me?,I don't know.,"Turn back, go out from this dirt road, cross the zebra crossing to the opposite building.",Go straight.,,local navigation and positioning,3,not_urgent
00818,v_00818_3,Can you describe the surroundings?,"The area is a park with large trees that have pink flowers. There are buildings visible in the background, indicating it may be in an urban area.",There are flowers on both sides and a lawn in the middle.,Ahead is a huge tree with red flowers.,,information reading,3,not_urgent
00818,v_00818_4,Is the path next to the tree accessible?,Yes.,,,,information reading,7.98,urgent
00543,v_00543_1,How do I cross this busy sidewalk?,Stay to the right side and follow the sidewalk path closely.,Just go straight. There're some motorcycles and shared bikes on the both sides of the sidewalk but the middle of the sidewalk is clear.,Just go straight.,,resource acquisition and others,4.98,urgent
00543,v_00543_2,Am I heading in the right direction for the building entrance?,Yes.,I don't know.,,,information reading,10.98,not_urgent
00544,v_00544_1,Is there anyone out there who can help me?,Yes.,,"Yes, there is a person in a suit in front of you.",,resource acquisition and others,94.98,not_urgent
00544,v_00544_2,Which direction should I go to reach the reception?,Turn left.,I don't know.,"I don't know, the exit of the mall is ahead.",,local navigation and positioning,88.98,not_urgent
00544,v_00544_3,Which direction should I go to reach the main road?,Head straight ahead.,Right front.,Go straight ahead to the left.,,local navigation and positioning,112.98,not_urgent
00544,v_00544_4,Where is the cashier?,The cashier is just to the right of this counter.,I don't know.,,,local navigation and positioning,16.98,not_urgent
00544,v_00544_5,Where is the nearest exit?,I don't know.,Directly in front.,"In front of you, go straight ahead to the right.",,local navigation and positioning,106.98,not_urgent
00544,v_00544_6,Where is the exit of this building?,Continue straight until you feel the outdoor air.,About 1 meter ahead.,"In front of you, go straight.",,local navigation and positioning,108.99,urgent
00544,v_00544_7,Is there an elevator or stairs ahead?,No.,,,,information reading,70.98,not_urgent
00544,v_00544_8,Is there a toilet nearby?,I don't know.,,No.,,information reading,10.98,not_urgent
00544,v_00544_9,How can I find the nearest seating area from here?,There is a seating area just past the cashier to the left.,I don't know.,"There is a staff member on your right, ask him.",,local navigation and positioning,22.98,not_urgent
00544,v_00544_10,Am I facing the mall entrance?,Yes.,,"Yes, 10 meters in front of you.",,information reading,100.98,urgent
00544,v_00544_11,Am I facing a counter now?,Yes.,,you are facing a perfume display cabinet.,,information reading,46.98,not_urgent
00544,v_00544_12,Am I at the exit?,Yes.,,"Yes, there is an exit ahead.",,information reading,99,urgent
